City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kudahuvadhoo,MV,83.01,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
5,Vaitape,PF,77.45,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
6,Yellowknife,CA,66.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
7,Oriximina,BR,85.8,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
11,Nong Khai,TH,77.29,heavy intensity rain,17.9167,103.0833,จารุวรรณ วงชัยยา
12,Georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
14,Rikitea,PF,71.74,light rain,-23.1203,-134.9692,People ThankYou
16,Nikolskoye,RU,78.87,clear sky,59.7035,30.7861,Tourist House - Sablino
17,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Mangit,UZ,87.62,few clouds,40.5971,70.9607,Dangara Hotel
20,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Port Hawkesbury,CA,76.91,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
28,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
29,Gilbues,BR,89.98,clear sky,-9.8317,-45.3439,Hotel Camapuã
32,Albany,US,79.57,clear sky,42.6001,-73.9662,
34,Sembe,CG,81.66,light rain,1.6481,14.5806,
35,Sao Jose Da Coroa Grande,BR,79.25,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
36,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
39,Isangel,VU,77.11,clear sky,-19.55,169.2667,Tanna Lodge
45,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
50,Ratnagiri,IN,77.79,light rain,16.9833,73.3,Hotel Landmark
51,Margate,GB,76.1,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
54,Along,IN,78.15,overcast clouds,28.1667,94.7667,Hotel West
55,Bambanglipuro,ID,75.34,overcast clouds,-7.95,110.2833,Puri Brata
56,Mezen,RU,77.83,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
59,Faanui,PF,77.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
60,Kahului,US,76.84,light rain,20.8947,-156.47,Maui Seaside Hotel
61,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
62,Petatlan,MX,76.8,broken clouds,17.5167,-101.2667,Hotel California Petatlán
63,Sete,FR,84.87,clear sky,43.4018,3.6966,Hotel De Paris Sète
64,Akdagmadeni,TR,70.12,clear sky,39.6603,35.8836,Hanedan Otel
65,Vega De Alatorre,MX,85.1,broken clouds,20.0333,-96.6333,Hotel D Luxe
66,Kondinskoye,RU,76.48,scattered clouds,59.6481,67.41,Gostinitsa
67,Itarema,BR,86.85,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
68,Marcavelica,PE,69.84,broken clouds,-4.8778,-80.7053,Alpamayo
71,Luau,AO,83.62,clear sky,-10.7073,22.2247,Kimbo Hotel
72,Sambava,MG,72.54,light rain,-14.2667,50.1667,Melrose
74,Gat,IL,85.78,clear sky,31.61,34.7642,OlusHome
76,Prainha,BR,87.67,broken clouds,-1.8,-53.48,Casa Rocha
77,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Ranot,TH,80.83,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
79,Lagoa,PT,69.3,overcast clouds,39.05,-27.9833,Casa Das Faias
80,Kavieng,PG,81.48,light rain,-2.5744,150.7967,Nusa Island Retreat
81,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
82,Sukabumi,ID,69.89,light rain,-6.9181,106.9267,The Bountie Hotel
83,Prado,BR,78.55,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
87,Shakiso,ET,66.85,overcast clouds,5.75,38.9167,DH international Hotel
88,Carauari,BR,88.32,broken clouds,-4.8828,-66.8958,Hotel Fellip
91,Imeni Zhelyabova,RU,73.72,broken clouds,58.9544,36.5956,
94,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
96,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Kemi,FI,67.77,light intensity shower rain,65.8596,24.8228,
99,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
103,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
105,San Quintin,MX,66.25,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
107,Richards Bay,ZA,69.31,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
109,Kendari,ID,75.34,scattered clouds,-3.945,122.4989,Hotel Wixel
110,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
112,Athens,GR,86.13,few clouds,37.9795,23.7162,Safestay Athens
113,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
115,Sao Filipe,CV,76.37,broken clouds,14.8961,-24.4956,Hotel Xaguate
119,Victoria,HK,89.19,clear sky,22.2855,114.1577,Mini Central
122,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
125,Macon,US,82.45,clear sky,39.8667,-88.9668,Haworth Cottage
