City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-07-13 15:29:26,-54.8,-68.3,37.06,75,75,13.8,broken clouds
1,Hobart,AU,2022-07-13 15:29:26,-42.8794,147.3294,37.27,94,21,9.22,few clouds
2,Kudahuvadhoo,MV,2022-07-13 15:29:28,2.6708,72.8944,83.01,73,9,11.5,clear sky
3,Bluff,NZ,2022-07-13 15:29:28,-46.6,168.3333,42.8,79,100,15.66,overcast clouds
4,Mount Isa,AU,2022-07-13 15:29:28,-20.7333,139.5,49.77,50,0,8.05,clear sky
5,Vaitape,PF,2022-07-13 15:28:54,-16.5167,-151.75,77.45,76,4,16.17,light rain
6,Yellowknife,CA,2022-07-13 15:25:03,62.456,-114.3525,66.72,59,40,4.0,scattered clouds
7,Oriximina,BR,2022-07-13 15:29:29,-1.7656,-55.8661,85.8,65,80,3.76,broken clouds
8,Hermanus,ZA,2022-07-13 15:29:29,-34.4187,19.2345,60.8,76,70,23.02,broken clouds
9,Takab,IR,2022-07-13 15:29:29,36.4009,47.1133,91.99,13,4,17.85,clear sky
10,Ucluelet,CA,2022-07-13 15:29:29,48.9329,-125.5528,56.08,92,2,5.26,clear sky
11,Nong Khai,TH,2022-07-13 15:29:30,17.9167,103.0833,77.29,91,100,7.49,heavy intensity rain
12,Georgetown,MY,2022-07-13 15:26:14,5.4112,100.3354,82.89,87,20,2.3,moderate rain
13,Port Hedland,AU,2022-07-13 15:29:30,-20.3167,118.5667,57.25,67,2,6.91,clear sky
14,Rikitea,PF,2022-07-13 15:29:30,-23.1203,-134.9692,71.74,83,36,8.25,light rain
15,Bredasdorp,ZA,2022-07-13 15:29:29,-34.5322,20.0403,59.58,64,44,20.49,scattered clouds
16,Nikolskoye,RU,2022-07-13 15:29:31,59.7035,30.7861,78.87,39,6,8.48,clear sky
17,Saint-Philippe,RE,2022-07-13 15:29:12,-21.3585,55.7679,69.39,81,51,14.5,light rain
18,Mataura,NZ,2022-07-13 15:29:31,-46.1927,168.8643,42.48,98,100,5.5,light rain
19,Mangit,UZ,2022-07-13 15:29:32,40.5971,70.9607,87.62,21,21,5.26,few clouds
