City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yarmouth,41.7057,-70.2286,80.15,65,0,14.97,US,2022-07-11 20:35:55
1,Bayeux,-7.125,-34.9322,79.43,73,0,8.05,BR,2022-07-11 20:35:56
2,Lima,-12.0432,-77.0282,64.9,74,100,5.75,PE,2022-07-11 20:33:07
3,Petropavlovka,50.6114,105.3196,52.29,89,100,4.18,RU,2022-07-11 20:35:56
4,Lodja,-3.4833,23.4333,78.8,31,56,2.01,CD,2022-07-11 20:35:56
5,Port Alfred,-33.5906,26.891,57.72,81,0,9.51,ZA,2022-07-11 20:35:57
6,Cayenne,4.9333,-52.3333,82.44,1,57,5.75,GF,2022-07-11 20:35:46
7,Avera,33.194,-82.5271,80.65,56,97,6.11,US,2022-07-11 20:35:57
8,Cape Town,-33.9258,18.4232,55.11,92,75,9.22,ZA,2022-07-11 20:33:25
9,Carnarvon,-24.8667,113.6333,63.43,54,0,9.73,AU,2022-07-11 20:31:03
10,Rizhao,35.4275,119.4553,76.15,98,94,6.73,CN,2022-07-11 20:35:58
11,Albany,42.6001,-73.9662,90.03,44,1,1.01,US,2022-07-11 20:35:31
12,Esperance,-33.8667,121.9,49.69,86,0,10.96,AU,2022-07-11 20:35:58
13,Ushuaia,-54.8,-68.3,35.22,47,40,9.22,AR,2022-07-11 20:35:58
14,Kavaratti,10.5669,72.642,80.89,81,100,17.56,IN,2022-07-11 20:35:59
15,Hilo,19.7297,-155.09,82.27,63,40,5.99,US,2022-07-11 20:32:15
16,Kodiak,57.79,-152.4072,72.91,53,100,6.91,US,2022-07-11 20:34:40
17,Mataura,-46.1927,168.8643,41.49,87,100,12.1,NZ,2022-07-11 20:35:59
18,Port Elizabeth,-33.918,25.5701,52.09,87,0,4.61,ZA,2022-07-11 20:35:12
19,Viedma,-40.8135,-62.9967,41.27,62,60,5.64,AR,2022-07-11 20:35:59
20,Karratha,-20.7377,116.8463,63.48,35,1,9.86,AU,2022-07-11 20:36:00
21,Bambous Virieux,-20.3428,57.7575,70.21,88,75,11.5,MU,2022-07-11 20:36:00
22,Kulhudhuffushi,6.6221,73.07,81.52,78,100,8.41,MV,2022-07-11 20:36:00
23,Tuatapere,-46.1333,167.6833,35.22,88,100,4.21,NZ,2022-07-11 20:36:01
24,Acapulco,16.8634,-99.8901,87.62,74,20,9.22,MX,2022-07-11 20:32:58
25,Punta Arenas,-53.15,-70.9167,30.31,74,0,10.36,CL,2022-07-11 20:36:01
26,Alice Springs,-23.7,133.8833,33.35,60,0,5.75,AU,2022-07-11 20:33:48
27,Balkanabat,39.5108,54.3671,91.31,16,0,13.31,TM,2022-07-11 20:36:01
28,Jamestown,42.097,-79.2353,86.05,44,40,15.01,US,2022-07-11 20:36:02
29,Rikitea,-23.1203,-134.9692,74.73,72,6,13.49,PF,2022-07-11 20:36:02
30,New Castle,41.0037,-80.347,88.88,49,0,11.5,US,2022-07-11 20:32:04
31,Saskylakh,71.9167,114.0833,40.73,77,100,18.28,RU,2022-07-11 20:36:03
32,Wuwei,37.9281,102.6414,72.86,53,100,5.88,CN,2022-07-11 20:36:03
33,Palmer,42.1584,-72.3287,87.66,41,40,11.5,US,2022-07-11 20:35:09
34,Havelock,34.8791,-76.9013,82.06,81,75,8.05,US,2022-07-11 20:36:03
35,Kieta,-6.2167,155.6333,79.9,81,89,4.83,PG,2022-07-11 20:36:04
36,Zyryanka,65.75,150.85,77.95,55,30,15.23,RU,2022-07-11 20:36:04
37,East London,-33.0153,27.9116,60.1,68,0,5.93,ZA,2022-07-11 20:36:04
38,Busselton,-33.65,115.3333,55.2,84,96,5.88,AU,2022-07-11 20:36:04
39,Kapaa,22.0752,-159.319,82.38,74,75,12.66,US,2022-07-11 20:36:05
40,Atuona,-9.8,-139.0333,77.43,75,35,16.26,PF,2022-07-11 20:36:05
41,San Patricio,28.017,-97.5169,104.16,36,9,14.83,US,2022-07-11 20:36:05
42,Pozoblanco,38.3791,-4.8483,78.24,22,21,4.7,ES,2022-07-11 20:36:06
43,Isangel,-19.55,169.2667,76.03,84,12,5.01,VU,2022-07-11 20:36:06
44,Faanui,-16.4833,-151.75,78.26,76,79,11.9,PF,2022-07-11 20:36:06
45,Aripuana,-9.1667,-60.6333,90.39,40,80,2.53,BR,2022-07-11 20:31:53
46,Santa Lucia,27.9117,-15.5407,67.77,73,20,29.93,ES,2022-07-11 20:36:07
47,Geraldton,-28.7667,114.6,43.21,87,0,8.05,AU,2022-07-11 20:36:07
48,Ust-Kuyga,70.0167,135.6,60.87,88,100,3.02,RU,2022-07-11 20:36:07
49,Kavieng,-2.5744,150.7967,81.46,79,96,14.25,PG,2022-07-11 20:33:48
50,Sao Joao Da Barra,-21.6403,-41.0511,75.29,89,0,18.01,BR,2022-07-11 20:37:08
51,Hofn,64.2539,-15.2082,51.76,89,100,15.19,IS,2022-07-11 20:37:08
52,Pevek,69.7008,170.3133,46.47,56,22,8.81,RU,2022-07-11 20:37:08
53,Vaini,-21.2,-175.2,77.16,78,20,9.22,TO,2022-07-11 20:37:09
54,Amapa,1.0,-52.0,75.88,96,53,2.71,BR,2022-07-11 20:37:09
55,Broome,42.2506,-75.833,89.1,46,0,13.0,US,2022-07-11 20:32:21
56,Maraa,-1.8333,-65.3667,85.26,66,100,0.34,BR,2022-07-11 20:37:09
57,Catalina,32.5056,-110.9211,105.82,17,72,3.0,US,2022-07-11 20:34:39
58,Worthing,50.8145,-0.3713,74.55,65,100,1.99,GB,2022-07-11 20:32:42
59,Jacksonville,30.3322,-81.6556,91.62,70,75,13.8,US,2022-07-11 20:33:20
60,Anchorage,61.2181,-149.9003,68.68,74,75,4.0,US,2022-07-11 20:33:54
61,Berlevag,70.8578,29.0864,53.6,93,100,8.05,NO,2022-07-11 20:37:10
62,Hermanus,-34.4187,19.2345,55.35,76,12,9.98,ZA,2022-07-11 20:37:10
63,Ponta Do Sol,32.6667,-17.1,73.0,71,11,4.85,PT,2022-07-11 20:37:11
64,Lompoc,34.6391,-120.4579,87.94,67,0,12.66,US,2022-07-11 20:37:11
65,Upernavik,72.7868,-56.1549,38.77,87,91,7.78,GL,2022-07-11 20:37:11
66,Muzhi,65.3667,64.6667,55.27,82,37,4.61,RU,2022-07-11 20:37:12
67,Mar Del Plata,-38.0023,-57.5575,47.08,77,75,17.0,AR,2022-07-11 20:35:12
68,Ostrovnoy,68.0531,39.5131,59.88,92,60,5.19,RU,2022-07-11 20:37:12
69,Chuy,-33.6971,-53.4616,48.94,94,100,18.7,UY,2022-07-11 20:37:13
70,Oranjestad,12.524,-70.027,85.95,70,40,18.41,AW,2022-07-11 20:37:13
71,Los Llanos De Aridane,28.6585,-17.9182,68.13,90,75,19.57,ES,2022-07-11 20:37:13
72,Grindavik,63.8424,-22.4338,54.07,82,100,18.41,IS,2022-07-11 20:37:13
73,Hamilton,39.1834,-84.5333,89.65,55,0,9.22,US,2022-07-11 20:35:30
74,Chokurdakh,70.6333,147.9167,55.98,90,100,7.92,RU,2022-07-11 20:37:14
75,Aktash,50.3,87.7333,44.2,89,7,0.89,RU,2022-07-11 20:37:14
76,Hobart,-42.8794,147.3294,46.26,89,61,3.06,AU,2022-07-11 20:37:05
77,Aitape,-3.1374,142.3475,77.16,88,17,5.61,PG,2022-07-11 20:37:15
78,Georgetown,5.4112,100.3354,79.9,88,20,2.3,MY,2022-07-11 20:37:15
79,Finschhafen,-6.6024,147.8681,78.15,75,99,8.37,PG,2022-07-11 20:37:15
80,Svetlogorsk,52.6333,29.7333,57.67,84,100,10.11,BY,2022-07-11 20:37:16
81,Worland,44.0169,-107.9554,82.89,34,0,5.75,US,2022-07-11 20:37:16
82,Clyde River,70.4692,-68.5914,46.63,100,100,11.5,CA,2022-07-11 20:37:16
83,Guerrero Negro,27.9769,-114.0611,74.84,61,100,17.05,MX,2022-07-11 20:35:16
84,Vao,-22.6667,167.4833,69.57,65,1,13.69,NC,2022-07-11 20:37:17
85,Nago,26.5881,127.9761,83.25,90,92,5.93,JP,2022-07-11 20:37:17
86,Birin,26.8865,88.0718,64.36,92,82,3.24,NP,2022-07-11 20:37:17
87,Kontagora,10.3999,5.4695,77.7,74,44,5.03,NG,2022-07-11 20:37:18
88,Formello,42.0801,12.3998,77.14,72,0,2.37,IT,2022-07-11 20:37:18
89,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.61,84,47,7.43,BR,2022-07-11 20:37:18
90,Bredasdorp,-34.5322,20.0403,49.77,80,0,6.8,ZA,2022-07-11 20:37:19
91,Tiksi,71.6872,128.8694,36.39,94,100,18.68,RU,2022-07-11 20:37:19
92,Tautira,-17.7333,-149.15,77.32,78,28,15.66,PF,2022-07-11 20:37:19
93,Saint Anthony,45.0205,-93.218,85.62,48,20,20.71,US,2022-07-11 20:37:19
94,Nemuro,43.3236,145.575,59.25,100,100,6.78,JP,2022-07-11 20:37:21
95,Mahebourg,-20.4081,57.7,70.25,88,75,11.5,MU,2022-07-11 20:37:21
96,Denpasar,-8.65,115.2167,80.26,88,40,34.52,ID,2022-07-11 20:34:36
97,Novobeysugskaya,45.472,39.8861,67.77,83,17,7.99,RU,2022-07-11 20:37:22
98,Nabire,-3.3667,135.4833,74.68,98,100,3.6,ID,2022-07-11 20:38:22
99,Saldanha,-33.0117,17.9442,55.45,80,100,8.34,ZA,2022-07-11 20:38:22
100,Airai,-8.9266,125.4092,52.93,90,96,2.89,TL,2022-07-11 20:38:23
101,Bonfim,3.0833,-59.95,85.17,68,61,5.01,BR,2022-07-11 20:38:23
102,Padang,-0.9492,100.3543,76.42,89,61,3.78,ID,2022-07-11 20:38:23
103,Warrnambool,-38.3833,142.4833,47.8,74,100,7.63,AU,2022-07-11 20:38:24
104,Farafangana,-22.8167,47.8333,64.56,84,1,3.71,MG,2022-07-11 20:38:24
105,Butaritari,3.0707,172.7902,82.04,80,100,16.89,KI,2022-07-11 20:38:24
106,Bluff,-46.6,168.3333,41.81,78,100,23.96,NZ,2022-07-11 20:38:25
107,Hithadhoo,-0.6,73.0833,82.33,71,91,3.65,MV,2022-07-11 20:38:25
108,Avarua,-21.2078,-159.775,77.05,61,40,11.5,CK,2022-07-11 20:38:25
109,Talas,38.6908,35.5538,66.87,60,20,8.05,TR,2022-07-11 20:38:25
110,Tuy Hoa,13.0833,109.3,76.26,87,61,6.64,VN,2022-07-11 20:38:26
111,Half Moon Bay,37.4636,-122.4286,92.05,62,20,20.71,US,2022-07-11 20:38:26
112,Barrow,71.2906,-156.7887,37.42,93,100,18.41,US,2022-07-11 20:38:27
113,Kidal,18.4411,1.4078,94.32,25,73,11.61,ML,2022-07-11 20:38:27
114,Kamskoye Ustye,55.2016,49.268,75.2,90,14,6.17,RU,2022-07-11 20:34:09
115,Barentu,15.1139,37.5928,68.88,82,100,12.44,ER,2022-07-11 20:38:27
116,Tequila,20.8833,-103.8333,91.04,34,23,2.1,MX,2022-07-11 20:38:28
117,Hambantota,6.1241,81.1185,79.57,81,100,19.57,LK,2022-07-11 20:38:28
118,Millau,44.0833,2.9167,80.73,60,0,4.5,FR,2022-07-11 20:38:28
119,Challans,46.8436,-1.8749,82.6,34,0,10.13,FR,2022-07-11 20:38:29
120,Yellowknife,62.456,-114.3525,72.12,60,75,8.05,CA,2022-07-11 20:38:23
121,Sur,22.5667,59.5289,85.44,75,100,14.72,OM,2022-07-11 20:38:29
122,Cidreira,-30.1811,-50.2056,66.54,81,74,10.67,BR,2022-07-11 20:38:29
123,Limoeiro Do Norte,-5.1456,-38.0981,83.48,52,98,7.92,BR,2022-07-11 20:38:30
124,Nikolskoye,59.7035,30.7861,64.87,98,100,5.53,RU,2022-07-11 20:38:30
125,Atherton,53.5237,-2.4935,75.74,58,100,1.99,GB,2022-07-11 20:38:30
126,Hasaki,35.7333,140.8333,73.8,91,100,4.18,JP,2022-07-11 20:38:31
127,Pueblo Nuevo,23.3833,-105.3833,74.21,58,41,7.02,MX,2022-07-11 20:38:31
128,Korem,12.5058,39.5228,56.25,72,100,7.29,ET,2022-07-11 20:38:31
129,Roald,62.5833,6.1333,64.17,100,40,6.91,NO,2022-07-11 20:38:32
130,Saint-Philippe,-21.3585,55.7679,65.21,81,40,14.9,RE,2022-07-11 20:38:32
131,Ahipara,-35.1667,173.1667,59.61,93,100,14.56,NZ,2022-07-11 20:38:32
132,Loreto,22.2667,-101.9667,84.9,19,45,8.86,MX,2022-07-11 20:38:32
133,Zhezkazgan,47.8043,67.7144,68.63,58,34,13.91,KZ,2022-07-11 20:38:33
134,Octeville,49.6261,-1.6435,66.69,63,0,8.05,FR,2022-07-11 20:38:33
135,Ribeira Grande,38.5167,-28.7,72.0,83,20,12.66,PT,2022-07-11 20:38:33
136,Castro,-24.7911,-50.0119,63.01,67,83,6.78,BR,2022-07-11 20:38:34
137,Domoni,-12.2569,44.5319,73.42,77,5,2.75,KM,2022-07-11 20:38:34
138,Ternate,0.8,127.4,78.3,85,80,6.22,ID,2022-07-11 20:38:34
139,Craig,40.5153,-107.5464,89.55,14,0,0.0,US,2022-07-11 20:38:35
140,Zhangjiakou,40.81,114.8794,62.96,88,88,4.14,CN,2022-07-11 20:38:35
141,Shizunai,42.3339,142.3669,68.72,92,100,9.01,JP,2022-07-11 20:38:35
142,Conceicao Do Araguaia,-8.2578,-49.2647,85.08,38,28,3.18,BR,2022-07-11 20:38:36
143,Wagar,16.1525,36.2032,80.46,67,98,21.05,SD,2022-07-11 20:39:36
144,Popondetta,-8.7537,148.2534,72.9,80,10,3.04,PG,2022-07-11 20:39:36
145,Tuktoyaktuk,69.4541,-133.0374,50.0,93,100,10.36,CA,2022-07-11 20:39:36
146,Cabo San Lucas,22.8909,-109.9124,97.11,29,20,17.27,MX,2022-07-11 20:37:51
147,Anand,22.5667,72.9333,77.72,90,100,10.25,IN,2022-07-11 20:39:37
148,Wewak,-3.5534,143.6268,77.13,88,23,6.98,PG,2022-07-11 20:39:37
149,Trinidad,-14.8333,-64.9,93.18,49,40,13.8,BO,2022-07-11 20:36:05
150,Mapiripan,2.8892,-72.1256,76.93,91,100,8.03,CO,2022-07-11 20:39:37
151,Takoradi,4.8845,-1.7554,75.78,84,85,9.91,GH,2022-07-11 20:39:38
152,Arraial Do Cabo,-22.9661,-42.0278,73.36,83,0,23.02,BR,2022-07-11 20:39:38
153,Narsaq,60.9167,-46.05,57.42,84,33,6.08,GL,2022-07-11 20:37:57
154,Faya,18.3851,42.4509,66.31,60,100,5.39,SA,2022-07-11 20:39:39
155,Poya,-21.35,165.15,69.28,76,13,5.06,NC,2022-07-11 20:39:39
156,Jieshi,22.8134,115.8257,81.43,84,2,2.39,CN,2022-07-11 20:39:39
157,Matay,28.419,30.7792,82.33,44,82,17.29,EG,2022-07-11 20:39:39
158,Orcopampa,-15.2661,-72.3417,57.02,23,5,7.14,PE,2022-07-11 20:39:40
159,Brande,55.9381,9.1218,59.74,97,97,7.16,DK,2022-07-11 20:37:05
